latitude,longitude,spp_richness,N_dep_kghayr,precip_mm,temp_C_ave,pH,CL_kghayr_lower,CL_kghayr_upper,CL_kghayr,EX_kghayr,two_class_veg,NVC_1_name,NVC_2_name,NVC_Alliance,proj_orig
35.8,-82.2,38,11.33,1430.98,11.02,5.2,12.45,14.1,13.2,-1.87,closed_canopy,Forest,Deciduous forest,"Quercus alba - (Quercus rubra, Carya spp.) Forest Alliance",CVS
36.3,-81.4,33,10.9,1370.19,11.03,5.1,12.17,13.71,12.87,-1.97,closed_canopy,Forest,Deciduous forest,"Quercus alba - (Quercus rubra, Carya spp.) Forest Alliance",CVS
36.3,-81.4,45,10.9,1370.19,11.03,5,12.05,13.54,12.73,-1.82,closed_canopy,Forest,Deciduous forest,"Quercus alba - (Quercus rubra, Carya spp.) Forest Alliance",CVS
36,-81.9,44,11.61,1431.06,10.08,5.1,12.17,13.71,12.87,-1.26,closed_canopy,Forest,Mixed evergreen-deciduous forest,"Quercus spp. - Pinus (rigida, echinata) Forest Alliance",CVS
36.3,-81.7,40,11.29,1403.59,9.43,5.2,12.42,14.06,13.16,-1.87,closed_canopy,Forest,Deciduous forest,"Quercus alba - (Quercus rubra, Carya spp.) Forest Alliance",CVS
36.3,-81.7,27,11.29,1403.59,9.43,5.5,12.9,14.77,13.74,-2.45,closed_canopy,Forest,Deciduous forest,"Quercus alba - (Quercus rubra, Carya spp.) Forest Alliance",CVS
36,-81.9,24,11.61,1408.43,10.04,5,11.92,13.37,12.58,-0.97,closed_canopy,Forest,Mixed evergreen-deciduous forest,"Quercus spp. - Pinus (rigida, echinata) Forest Alliance",CVS
34.5,-78.2,13,11.43,1303.9,16.71,5,7.69,8.98,8.33,3.09,open_canopy,Woodland,Evergreen woodland,Pinus palustris Woodland Alliance,CVS
34.7,-78.5,3,13,1206.56,16.72,3.9,9.7,10.92,10.31,2.69,closed_canopy,Forest,Evergreen forest,Pinus taeda Forest Alliance,CVS
34.9,-78.6,6,12.89,1193.7,16.57,4.9,7.47,8.73,8.1,4.79,open_canopy,Woodland,Evergreen woodland,Pinus palustris Woodland Alliance,CVS
34.6,-78.5,18,12.81,1209.02,16.83,3.8,9.31,10.58,9.96,2.85,closed_canopy,Forest,Evergreen forest,Pinus taeda Forest Alliance,CVS
34.6,-78.5,27,12.81,1209.41,16.82,4.3,10.57,11.74,11.14,1.68,closed_canopy,Forest,Evergreen forest,Pinus taeda Forest Alliance,CVS
34.6,-78.3,14,12.28,1273.91,16.73,3.9,9.65,10.87,10.27,2.01,closed_canopy,Forest,Evergreen forest,Pinus taeda Forest Alliance,CVS
34.6,-78.4,2,12.03,1219.22,16.8,3.9,9.65,10.87,10.27,1.77,closed_canopy,Forest,Evergreen forest,Pinus taeda Forest Alliance,CVS
34.5,-78.2,2,11.43,1297.71,16.71,4.7,11.32,12.6,11.92,-0.48,closed_canopy,Forest,Evergreen forest,Pinus taeda Forest Alliance,CVS
35.1,-78.9,17,12.93,1163.3,16.56,5.5,7.74,8.95,8.34,4.59,open_canopy,Woodland,Evergreen woodland,Pinus palustris Woodland Alliance,CVS
34.7,-78.6,1,12.65,1205.29,16.76,3.4,8.46,9.92,9.24,3.41,closed_canopy,Forest,Evergreen forest,Pinus taeda Forest Alliance,CVS
